,TableVer,MesLocalID,MesSvrID,CreateTime,Message,Status,ImgStatus,Type,Des
0,1,1,7457546486055552976,1544510974,我通过了你的朋友验证请求，现在我们可以开始聊天了,4,1,1,1
1,1,2,2969070286451801263,1544511219,hello,4,1,1,1
2,1,3,1811709153677043437,1544511233,我叫龚珍珍,4,1,1,1
3,1,4,1727108929421443120,1544511261,你好，我叫李亚国,2,1,1,0
4,1,5,796689994862762099,1544511263,[微笑],2,1,1,0
5,1,6,8832356713682143126,1544511368,你现在在上班吗,4,1,1,1
6,1,7,3529553504548694466,1544511376,"<msg><emoji md5=""d9f537281429695f9c299049814e3e33"" type=""2"" len = ""39147"" productid=""com.tencent.xin.emoticon.person.stiker_1474739821fdc543cf7af3f1a9"" width=""240"" height=""240""></emoji><gameext type=""0"" content=""0"" ></gameext></msg>",2,1,47,0
7,1,8,1513198730762908022,1544511393,我也在上班,4,1,1,1
8,1,9,1562592169691827626,1544511398,段段说你俩在聊天,4,1,1,1
9,1,10,3350582493142155579,1544511413,是的，她是我研究生同学,2,1,1,0
10,1,11,2580601317035603611,1544511429,嗯呢她跟我说了,4,1,1,1
11,1,12,363388134099903280,1544511431,应该交流学习心得,2,1,1,0
12,1,13,8865417005819012382,1544511435,我也正在忙,4,1,1,1
13,1,14,2214597255127187150,1544511447,你在做什么工作呢,2,1,1,0
14,1,15,752868663611625981,1544511449,突然一个红点，段段找我,4,1,1,1
15,1,16,8208038952077387460,1544511457,项目管理,4,1,1,1
16,1,17,9169765953895130830,1544511478,哦哦，可以可以，以后可以做项目经理,2,1,1,0
17,1,18,3431927132347106986,1544511494,没有没有早着呢,4,1,1,1
18,1,19,1995493735344346527,1544511691,我这边做的就是项目经理给我们需求，我们去实现,2,1,1,0
19,1,20,6934749947941092391,1544511761,你们做什么产品啊,4,1,1,1
20,1,21,44967175476685249,1544511773,差不多吧,2,1,1,0
21,1,22,8845252633373519258,1544511804,人机对话的机器人,2,1,1,0
22,1,23,3836677956739898294,1544511832,那你们高级些我们做笔记本,4,1,1,1
23,1,24,6259737951179140312,1544512041,没有，我也是刚毕业，好多不会,2,1,1,0
24,1,25,3085626068165251691,1544512054,我现在就是跟着老同事后面做事,4,1,1,1
25,1,26,5024877782517265656,1544512073,做着学着，直接拉近项目组了,4,1,1,1
26,1,27,722371664135104717,1544512100,我们是初创公司，好多东西都是自己做，没人带,2,1,1,0
27,1,28,109781913366366290,1544512169,恩，初创的公司更加锻炼人能学到更多东西,4,1,1,1
28,1,29,8975546710498499403,1544512264,额，我们这边没有技术大牛,2,1,1,0
29,1,30,7303528116736284971,1544512278,所以很悲剧,2,1,1,0
30,1,31,4179954809179067101,1544512301,你们自己经历后慢慢就是技术大牛了,4,1,1,1
31,1,32,347763182461733338,1544512319,加油,4,1,1,1
32,1,33,1548457726550577119,1544512322,[微笑],2,1,1,0
33,1,34,2613856833168226453,1544512339,"<msg><emoji md5=""d9f537281429695f9c299049814e3e33"" type=""2"" len = ""39147"" productid=""com.tencent.xin.emoticon.person.stiker_1474739821fdc543cf7af3f1a9"" width=""240"" height=""240""></emoji><gameext type=""0"" content=""0"" ></gameext></msg>",2,1,47,0
34,1,35,8385015009494027640,1544512349,等会回去再聊吧！,2,1,1,0
35,1,36,16542445290803159,1544512373,恩恩我也要忙工作啦,4,1,1,1
36,1,37,1734339181421914968,1544529077,我下班了，你呢,4,1,1,1
37,1,38,7043024231454882737,1544529705,刚吃过,2,1,1,0
38,1,39,3173603642346806468,1544529718,你们现在才下班吗,2,1,1,0
39,1,40,834282793712483664,1544529757,上上周末公寓弱电井着火差点酿成大事故,4,1,1,1
40,1,41,8409972015660615060,1544529777,哦哦，我听老段说了,2,1,1,0
41,1,42,6990281055247001196,1544529781,今天宿管趁我们不在进了宿舍收走了电水壶[捂脸]刚刚好多人在找他们理论,4,1,1,1
42,1,43,5068444648801412259,1544529797,拿回了电水壶还有电饭煲之类的😂,4,1,1,1
43,1,44,6058084245345550538,1544529816,(°_°)…怎么和学校一样，随便收人家东西呀,2,1,1,0
44,1,45,4813898604181446716,1544529842,是的,4,1,1,1
45,1,46,3222460042584808082,1544529845,好气愤,4,1,1,1
46,1,47,928902083960430908,1544529872,那你还住在宿舍吗,2,1,1,0
47,1,48,6693170956999030642,1544529883,拿走还要写一句：若以后在用大功率电器就按照宿舍规定处理,4,1,1,1
48,1,49,2361636074296739771,1544529887,住的哇,4,1,1,1
49,1,50,8373333776829472438,1544529891,老段好像不住宿舍了吧,2,1,1,0
50,1,51,1469623688536818477,1544529892,我和段段一个宿舍,4,1,1,1
51,1,52,9114942383741792126,1544529902,住的,4,1,1,1
52,1,53,1046216595478730960,1544529918,哦哦，,2,1,1,0
53,1,54,7460514647981052841,1544529949,刚刚还说喊我去健身房,4,1,1,1
54,1,55,3043055999128191338,1544529957,给你们还算好的，要是学校好像就不给了,2,1,1,0
55,1,56,755679421181550069,1544529961,结果今天收水壶这事耽误了,4,1,1,1
56,1,57,1002208677997198004,1544529975,还有健身房呀,2,1,1,0
57,1,58,7584140051182485675,1544529978,好羡慕,2,1,1,0
58,1,59,623286469844462406,1544529982,我们也说不给的，可是公司员工多很多人抗议,4,1,1,1
59,1,60,9080921028122113834,1544529999,嗯呐我们公司有健身房,4,1,1,1
60,1,61,2265658646393526816,1544530005,就在公寓园区里,4,1,1,1
61,1,62,8829456653619471035,1544530016,不过天冷好久没去了[捂脸],4,1,1,1
62,1,63,2937706767497434354,1544530017,好吧，大厂就是好,2,1,1,0
63,1,64,5034479520364883090,1544530033,哎,4,1,1,1
64,1,65,4830430036308699412,1544530043,天气冷，就应该多锻炼,2,1,1,0
65,1,66,7923154675999501011,1544530055,上次差点着火段段就被烟呛到了,4,1,1,1
66,1,67,6559463459825591022,1544530069,好危险呀,2,1,1,0
67,1,68,5936698182929809387,1544530073,我那天幸运的躲过了一劫早上出门了,4,1,1,1
68,1,69,5153104645719645363,1544530121,我当时从外面回来，还好段段已经逃出来了，隔壁有两个同事也是我们应届生没逃出来，我打电话给他们都吓哭了,4,1,1,1
69,1,70,6835153824954094495,1544530188,吓着了,2,1,1,0
70,1,71,7241869538130410388,1544530214,是的,4,1,1,1
71,1,72,6555088271354536935,1544530268,我当时也吓死了，不知道里面什么情况，让她俩拿着湿毛巾出来俩人不敢出来，烟太呛人了，段段说全都是浓烟,4,1,1,1
72,1,73,1414220535080073056,1544530393,好吓人呀，好像好多发生火灾不是因为人被烧死了，而是因为烟呛致人死亡。,2,1,1,0
73,1,74,917841060926071774,1544530409,后来是消防员拿面具把她俩救出来的,4,1,1,1
74,1,75,4712522521991966265,1544530410,嗯嗯,4,1,1,1
75,1,76,1772739836656198598,1544530434,为消防员点赞,2,1,1,0
76,1,77,7312391322951139424,1544530454,段段跟我说她地震也经历过了火灾也经历过了😂我还算幸运，从小到大没经历过这些事情,4,1,1,1
77,1,78,5486705500485103205,1544530458,不然你们公司要上新闻了,2,1,1,0
78,1,79,5883735278635522891,1544530495,好可怕，,2,1,1,0
79,1,80,5502746038270119771,1544530505,是的，后来公司就让大家不要外传[皱眉]然后着火也没个正式解释说明,4,1,1,1
80,1,81,6186813325541350678,1544530523,这次却要查我们大功率电器烧水壶，所以大家很气愤,4,1,1,1
81,1,82,7514646664335674572,1544530589,额，好吧，还是把你们当学生在管理,2,1,1,0
82,1,83,7467593706065760272,1544530593,[偷笑],2,1,1,0
83,1,84,8060869825794254865,1544530627,😂可是住了很多同事有的都是入职时间很久的了,4,1,1,1
84,1,85,7065566142421693856,1544530658,现在一般公司都不愿意提供住宿，就怕出一些意外担责任,2,1,1,0
85,1,86,7452182508546753051,1544530679,所以大家更生气，不抓根本原因，却要查我们，还不经过同意私入宿舍没收,4,1,1,1
86,1,87,5527405149274834035,1544530701,我们这边说是政府盖的公租房给联宝员工住宿的,4,1,1,1
87,1,88,7403168473659264399,1544530714,公司行政和物业共同管理的,4,1,1,1
88,1,89,3772636641913431841,1544530733,哦哦,2,1,1,0
89,1,90,3098908948545036354,1544530754,你上班住哪的啊,4,1,1,1
90,1,91,7546042254026982526,1544530757,租房子住嘛,4,1,1,1
91,1,92,5798277285680422817,1544530762,是做的有点过分，,2,1,1,0
92,1,93,3975620928423988576,1544530775,是的呀，我们公司给我们租的,2,1,1,0
93,1,94,4612478926201627105,1544530803,我现在在滁州这边上班,2,1,1,0
94,1,95,753613818768509127,1544530817,准备明年回合肥,2,1,1,0
95,1,96,1867027568312456537,1544530819,[呲牙],2,1,1,0
96,1,97,4744445024299912313,1544530850,哦段段和我说了[呲牙],4,1,1,1
97,1,98,6585264634309128983,1544530861,你本科合肥师范的是吗,4,1,1,1
98,1,99,5480365057355694833,1544530867,我昨天还在合肥面试,2,1,1,0
99,1,100,3374447427005478079,1544530869,嗯嗯,2,1,1,0
100,1,101,1963012412018666401,1544530877,啊,4,1,1,1
101,1,102,4719414247993865990,1544530884,昨天还在啊,4,1,1,1
102,1,103,1313853248971573355,1544530891,嗯嗯,2,1,1,0
103,1,104,6530503526525905605,1544530903,现在是会滁州了吗,4,1,1,1
104,1,105,6128664002785811741,1544530920,昨天下午会滁州的,2,1,1,0
105,1,106,107823270810761088,1544530939,哦离得也近,4,1,1,1
106,1,107,5669336152171924645,1544530959,面试什么公司啊,4,1,1,1
107,1,108,6770174805158017202,1544530970,有通知了吗,4,1,1,1
108,1,109,3026682442015709674,1544530973,我上个星期回家了，正好有家公司约面试,2,1,1,0
109,1,110,1673115268696841915,1544530981,科技内公司,2,1,1,0
110,1,111,3936210747941555937,1544531035,他那边人想让我最近到岗，我没太愿意,2,1,1,0
111,1,112,458029803197561668,1544531055,那过完年到岗吗,4,1,1,1
112,1,113,6580204452835824423,1544531068,我是这么想的,2,1,1,0
113,1,114,2523033122680884160,1544531070,签了吗,4,1,1,1
114,1,115,8751042837468068587,1544531075,没有，,2,1,1,0
115,1,116,6795028471518124447,1544531089,过完年到岗还是蛮好的,4,1,1,1
116,1,117,921390451036346071,1544531093,后续再沟通吧,2,1,1,0
117,1,118,6456642913333876975,1544531098,嗯嗯可以和人事谈谈,4,1,1,1
118,1,119,7803160745089541589,1544531121,主要我这边项目没有做完，我不能走,2,1,1,0
119,1,120,6891171903086044567,1544531141,打算过几天再问问,2,1,1,0
120,1,121,256313297582410255,1544531161,主要那边公司离我家也挺远的，,2,1,1,0
121,1,122,7975714637992698191,1544531175,公司在哪个区,4,1,1,1
