行,科室,关键词,问题,病情分析/意见,相关问题1,相关问题2,相关问题3,相关问题4,相关问题5,相关问题6,
1,妇产科,人流,人流不全时可能怀孕吗,"病情分析：你好朋友这样的情况考虑是由于在次怀孕有一定影响的啊指导意见：建议你应该做个HCG检查一下,和做个B超检查都可以确定的啊,你放心",人流后几天就性生活怀孕可能大不,人流一个月内怀孕的可能大不大？求解答，可能怀孕不？...,做了人流还可能怀孕吗,比如说我今天才吃避孕药、下一次吃安全时间是好久一年...,做过人流怀孕可能信吗,人流一个月后，怀孕的可能性大不,
2,外科,男科,包皮手术化脓,"您好：您现在有发炎的迹象,这种情况下如果可以安排的话建议您最好能到院接受正规无菌的换药操作.如果实在条件不允许,那么建议您能在医院经过医生的具体指导下再自我操作.另外,也无需一定把脓液擦掉,随着恢复脓液可自我吸收.",包皮手术后缝线出化脓,做了包皮手术；化脓了咋办,包皮手术后伤口化脓！,包皮手术伤口化脓，疼不，好治不,包皮手术13天，伤口化脓稍严重,包皮手术后三天，好像化脓了,
3,内科,甲状腺疾病,咨寻我是患了甲亢吗,"病情分析：甲状腺亢进疾病会体现在很多方面,例如容易冲动,易怒,精力过剩等.单凭一个手抖不能说明您是否患有甲亢.指导意见：手颤抖可能与您的神经系统有关,建议您不必有过大心理压力,放松心态.生活护理：祝您早日康复!",医生，你好，咨寻一下，我是12,我患了甲亢,我是否患了甲亢？,患了甲亢怎么缓解症状？,患了甲亢能治好嗎,"患了三年甲亢,甲亢(感谢医生)",
4,整形美容,减肥瘦身,喝豆奶粉能不能减肥,病情分析：服用豆奶粉的话减肥的作用不大的到不到减肥的目的的因为豆奶粉中的热量也是比较足的是需要注意积极的避免使用这样的成份减肥较好的指导意见：一般情况下减肥的话主要是通过节食和运动才可以的节食上主要是通过减少油腻和甜腻的食物较好的注意适当的坚持运动锻炼身体才可以的注意继续定期的复查才可以的,平时喝豆奶粉冲成都的豆浆，会影响减肥吗？豆奶粉的功...,每天喝豆奶粉好吗/能减肥吗？,请问喝豆奶粉减肥 美容吗,在什么时间喝豆奶粉最好,减肥期间可以喝豆奶粉吗，能吃方便面和面包吗,最近在减肥，早晨喝一袋豆奶粉和熟食燕麦，,
5,皮肤科,皮肤综合,神经性皮炎,病情分析：考虑是此病 与精神因素及免疫  过敏等有关 指导意见：首先要注意避免接触刺激性大的东西 其次现在只能用药膏 不要口服药物了 害怕对宝宝有影响,神经性皮炎原因，神经性皮炎治疗,神经性皮炎,头皮神经性皮炎？,是否神经性皮炎,神经性皮炎,神经性皮炎！,
6,精神科,精神科综合,槟榔十三味治疗精神病效果怎么样,精神失常，不出门，不爱说话，建议她最好到医院精神科接受检查，根据检查结果对症治疗。（蒙王）槟榔十三味丸具有安神止痛的功效，可以用来治疗精神失常，你可以服用槟榔十三味丸试试，看看效果如何，这味药在病情轻微的情况下可以使用，如果病情严重，请及时到正规医院精神科接受治疗，祝你早日恢复健康！,槟榔十三味是否治疗精神病,槟榔十三味治疗精神病效果怎么样,槟榔十三味丸,安脑芬尼治疗精神病效果怎么样？,要怎么样治疗精神病。精神病能否,心理医生治疗精神病效果怎么样,
7,传染科,肝病,冬季乙肝病人忌吃什么,"河南省公安医院肝病治疗中心专家回答您：冬天饮食要注意不吃辛辣刺激的食物,不喝酒,不抽烟,不吃油炸食物.",乙肝病人转氨酶高忌吃什么,乙肝病人忌吃哪些食物,乙肝病毒者要忌吃什么,乙肝病人不易吃什么?,乙肝病人吃什么好,乙肝病人吃什么好。。。,
8,妇产科,人流,请问怀孕35天左右可以做人流吗,"病情分析：你好,如果你不想要的话,应该尽快想办法,具体做什么流产,要看孕囊的大小,位置和全身的情况决定的,建议到医院检查,在医生的指导下选择合适的流产方式.指导意见：可以做药流...但这个一般不建议..搞不好要多做一次人工流产.如果是人工流产的话..还未到时候..因为胚胎太少了...要两个月吧..",怀孕35天左右，做人流可以吗？大概费用是多少？,请问怀孕35天左右可以做人流么,意外怀孕35天左右，可以做人流吗,现在怀孕35天左右，想去做人流。时间点可,我怀孕35天左右，可以做人流吗,怀孕35天左右,
9,皮肤科,痤疮,补肾壮阳会加重痤疮吗,"病情分析：患者 三年半前因脸上长青春痘,听别人说手隐能去火,至此染上恶习,一发不可收拾!满脸痤疮 风湿关节炎 手脚冰凉 多梦 梦遗 记忆力下降 易疲劳 睡觉时耳鸣用药效果不好指导意见：建议患者首先改正不良习惯加强锻炼保持良好心情用中药调理不要急于求成",痤疮会越长越多吗？,冷水洗脸会加重痤疮吗？,打飞机会不会加重痤疮？,脸上长痤疮，手淫会加重吗？,怎么才能上夜班也不让痤疮加重,吃鸡蛋，不会加重痤疮，痘痘复发吗...,
10,妇产科,人流,请问怀孕35天左右可以做人流吗,"病情分析：一般情况下考虑怀孕6周后才可以B超看到宫内孕囊指导意见：所以你的情况建议最好是及时到医院检查,看到孕囊后才可以选择流产生活护理：同时建议最好是注意局部的卫生,一般考虑无痛人流痛苦较小",怀孕35天左右，做人流可以吗？大概费用是多少？,请问怀孕35天左右可以做人流么,意外怀孕35天左右，可以做人流吗,现在怀孕35天左右，想去做人流。时间点可,我怀孕35天左右，可以做人流吗,怀孕35天左右,
